960521-1-2-mutate,InvalidFree,5,0,0,unsat,0.009810686111450195s,safe
960521-1-2-mutate,InvalidFree,2,0,0,unsat,0.00986480712890625s,safe
960521-1-2-mutate,InvalidFree,3,0,0,unsat,0.008919239044189453s,safe
test-0158-1-mutate,MemLeak,2,68,55,unsat,9.152570724487305s,safe
test-0158-1-mutate,MemLeak,3,70,64,unsat,9.898843765258789s,safe
test-0158-1-mutate,MemLeak,5,74,82,unsat,12.09398365020752s,safe
test-0158-1-mutate,MemLeak,1,66,46,unsat,8.050202131271362s,safe
lockfree-3.0,MemLeak,5,0,0,unsat,0.016597747802734375s,safe
lockfree-3.0,MemLeak,2,0,0,unsat,0.009173870086669922s,safe
lockfree-3.0,MemLeak,3,0,0,unsat,0.013596534729003906s,safe
960521-1-3-mutate,MemLeak,5,94,159,unsat,41.06786632537842s,safe
960521-1-3-mutate,MemLeak,2,0,0,unsat,0.00973057746887207s,safe
960521-1-3-mutate,MemLeak,3,90,119,unsat,35.84653973579407s,safe
test-0232-3,InvalidDeref,3,70,186,unsat,8.263424396514893s,safe
test-0232-3,InvalidDeref,5,98,271,unsat,31.844154357910156s,safe
test-0232-3,InvalidDeref,2,50,135,unsat,2.1114661693573s,safe
global-atexit-1-mutate,InvalidDeref,3,40,63,unsat,0.6756961345672607s,safe
global-atexit-1-mutate,InvalidDeref,2,28,45,unsat,0.16818618774414062s,safe
global-atexit-1-mutate,InvalidDeref,5,60,94,unsat,3.527327060699463s,safe
test-0521,InvalidFree,5,0,0,unsat,0.01791858673095703s,safe
test-0521,InvalidFree,3,0,0,unsat,0.014763593673706055s,safe
test-0521,InvalidFree,1,0,0,unsat,0.008792877197265625s,safe
test-0521,InvalidFree,2,0,0,unsat,0.012130260467529297s,safe
test-0521,InvalidFree,12,0,0,unsat,0.044008731842041016s,safe
test-0521,InvalidFree,6,0,0,unsat,0.0217287540435791s,safe
global-atexit-2-mutate,InvalidFree,5,89,130,sat,22.49808120727539s,buggy
global-atexit-2-mutate,InvalidFree,3,72,91,unsat,8.43023157119751s,safe
global-atexit-2-mutate,InvalidFree,2,54,68,unsat,2.7221479415893555s,safe
global-atexit-2-mutate,InvalidFree,4,87,113,sat,17.62849521636963s,buggy
global-atexit,InvalidDeref,3,30,33,unsat,0.16261053085327148s,safe
global-atexit,InvalidDeref,2,28,27,unsat,0.14629316329956055s,safe
global-atexit,InvalidDeref,5,34,45,unsat,0.2547612190246582s,safe
lockfree-3.3,InvalidDeref,5,0,0,unsat,0.01624894142150879s,safe
lockfree-3.3,InvalidDeref,3,0,0,unsat,0.011753320693969727s,safe
lockfree-3.3,InvalidDeref,2,0,0,unsat,0.010834217071533203s,safe
lockfree-3.1,MemLeak,3,0,0,unsat,0.009762763977050781s,safe
lockfree-3.1,MemLeak,2,0,0,unsat,0.010166168212890625s,safe
lockfree-3.1,MemLeak,23,722,1814,memout,0,buggy
lockfree-3.1,MemLeak,5,0,0,unsat,0.01565837860107422s,safe
test-0521,InvalidDeref,5,119,882,unsat,77.99411821365356s,safe
test-0521,InvalidDeref,12,489,2058,memout,0,safe
test-0521,InvalidDeref,2,0,0,unsat,0.011588096618652344s,safe
test-0521,InvalidDeref,3,51,576,unsat,2.1187732219696045s,safe
test-0521,InvalidDeref,6,142,1035,unsat,167.54340720176697s,safe
test-0521,InvalidDeref,1,0,0,unsat,0.01029658317565918s,safe
lockfree-3.0,InvalidFree,2,0,0,unsat,0.014323711395263672s,safe
lockfree-3.0,InvalidFree,5,0,0,unsat,0.01721811294555664s,safe
lockfree-3.0,InvalidFree,3,0,0,unsat,0.018537521362304688s,safe
lockfree-3.1,InvalidDeref,5,0,0,unsat,0.015273094177246094s,safe
lockfree-3.1,InvalidDeref,2,0,0,unsat,0.008620023727416992s,safe
lockfree-3.1,InvalidDeref,3,0,0,unsat,0.01287531852722168s,safe
lockfree-3.3,MemLeak,14,252,945,memout,0,buggy
lockfree-3.3,MemLeak,3,0,0,unsat,0.013514518737792969s,safe
lockfree-3.3,MemLeak,2,0,0,unsat,0.014547348022460938s,safe
lockfree-3.3,MemLeak,5,0,0,unsat,0.014997720718383789s,safe
test-0232-1,MemLeak,2,0,0,unsat,0.009623050689697266s,safe
test-0232-1,MemLeak,3,0,0,unsat,0.011043787002563477s,safe
test-0232-1,MemLeak,5,105,182,sat,47.278401136398315s,buggy
global-atexit-1,InvalidFree,3,40,70,unsat,0.706810712814331s,safe
global-atexit-1,InvalidFree,2,18,48,unsat,0.03140830993652344s,safe
global-atexit-1,InvalidFree,5,73,109,unsat,8.924161434173584s,safe
test-0513,InvalidFree,3,0,0,unsat,0.013218402862548828s,safe
test-0513,InvalidFree,1,0,0,unsat,0.015172958374023438s,safe
test-0513,InvalidFree,2,0,0,unsat,0.009118080139160156s,safe
test-0513,InvalidFree,12,356,1021,memout,0,safe
test-0513,InvalidFree,5,0,0,unsat,0.015157699584960938s,safe
test-0513,InvalidFree,6,0,0,unsat,0.016653776168823242s,safe
960521-1-1-mutate,InvalidFree,2,92,88,sat,42.60095477104187s,buggy
960521-1-1-mutate,InvalidFree,3,94,106,sat,45.3195013999939s,buggy
960521-1-1-mutate,InvalidFree,5,98,142,sat,50.9045934677124s,buggy
lockfree-3.2,InvalidDeref,2,0,0,unsat,0.008913278579711914s,safe
lockfree-3.2,InvalidDeref,3,0,0,unsat,0.016872167587280273s,safe
lockfree-3.2,InvalidDeref,5,0,0,unsat,0.017471790313720703s,safe
test-0158-1-mutate,InvalidDeref,1,45,32,unsat,1.2086095809936523s,safe
test-0158-1-mutate,InvalidDeref,3,49,50,unsat,1.5181000232696533s,safe
test-0158-1-mutate,InvalidDeref,5,53,68,unsat,1.8589370250701904s,safe
test-0158-1-mutate,InvalidDeref,2,47,41,unsat,1.4405107498168945s,safe
test-0019-1-mutate,InvalidFree,3,74,61,unsat,10.075642824172974s,safe
test-0019-1-mutate,InvalidFree,2,72,51,unsat,9.194080114364624s,safe
test-0019-1-mutate,InvalidFree,5,78,81,unsat,12.20562481880188s,safe
test-0019-2-mutate,InvalidFree,5,90,97,unsat,24.155346155166626s,safe
test-0019-2-mutate,InvalidFree,2,72,57,unsat,9.950062990188599s,safe
test-0019-2-mutate,InvalidFree,3,86,73,unsat,20.486011266708374s,safe
global-atexit-2,InvalidFree,3,85,96,unsat,16.153031587600708s,safe
global-atexit-2,InvalidFree,5,89,130,unsat,18.342675924301147s,safe
global-atexit-2,InvalidFree,2,67,73,unsat,6.40306544303894s,safe
test-0513,InvalidDeref,6,168,518,unsat,349.09036326408386s,safe
test-0513,InvalidDeref,2,0,0,unsat,0.011117696762084961s,safe
test-0513,InvalidDeref,12,460,1061,memout,0,safe
test-0513,InvalidDeref,5,84,404,unsat,14.335663795471191s,safe
test-0513,InvalidDeref,3,0,0,unsat,0.011818170547485352s,safe
test-0513,InvalidDeref,1,0,0,unsat,0.009788036346435547s,safe
test-0019-2-mutate,InvalidDeref,3,98,79,unsat,35.777019023895264s,safe
test-0019-2-mutate,InvalidDeref,2,78,61,unsat,13.654058694839478s,safe
test-0019-2-mutate,InvalidDeref,5,102,103,unsat,38.265467405319214s,safe
global-atexit-1-mutate,MemLeak,3,35,59,sat,0.3834950923919678s,buggy
global-atexit-1-mutate,MemLeak,2,0,0,unsat,0.00903177261352539s,safe
global-atexit-1-mutate,MemLeak,5,62,95,sat,4.228656530380249s,buggy
global-atexit-2,MemLeak,2,0,0,unsat,0.009421586990356445s,safe
global-atexit-2,MemLeak,3,68,93,unsat,6.567650318145752s,safe
global-atexit-2,MemLeak,5,85,133,sat,15.783379793167114s,buggy
global-atexit-2,MemLeak,4,83,116,sat,16.732875108718872s,buggy
lockfree-3.2,MemLeak,22,664,1745,memout,0,buggy
lockfree-3.2,MemLeak,2,0,0,unsat,0.009024381637573242s,safe
lockfree-3.2,MemLeak,3,0,0,unsat,0.011806488037109375s,safe
lockfree-3.2,MemLeak,5,0,0,unsat,0.012385129928588867s,safe
test-0019-2,MemLeak,2,0,0,unsat,0.00930023193359375s,safe
test-0019-2,MemLeak,5,103,112,sat,44.8041045665741s,buggy
test-0019-2,MemLeak,3,99,86,sat,39.43630051612854s,buggy
960521-1-2-mutate,InvalidDeref,3,47,96,unsat,1.4163424968719482s,safe
960521-1-2-mutate,InvalidDeref,5,109,163,unsat,60.64493799209595s,safe
960521-1-2-mutate,InvalidDeref,7,167,230,sat,389.7185802459717s,buggy
